,0,1
0,Michael Jordan,9697
1,Karl Malone,9697
2,Glen Rice,9697
3,Shaquille O'Neal,9697
4,Mitch Richmond,9697
5,Latrell Sprewell,9697
6,Allen Iverson,9697
7,Hakeem Olajuwon,9697
8,Patrick Ewing,9697
9,LaPhonso Ellis,9697
10,Kendall Gill,9697
11,Gary Payton,9697
12,Reggie Miller,9697
13,Grant Hill,9697
14,Glenn Robinson,9697
15,Vin Baker,9697
16,Jerry Stackhouse,9697
17,Tom Gugliotta,9697
18,Anfernee Hardaway,9697
19,Tim Hardaway,9697
20,Scottie Pippen,9697
21,Damon Stoudamire,9697
22,Kevin Johnson,9697
23,Chris Webber,9697
24,Steven Smith,9697
25,Alonzo Mourning,9697
26,Terrell Brandon,9697
27,Charles Barkley,9697
28,Juwan Howard,9697
29,Chris Gatling,9697
30,Shawn Kemp,9697
31,Shareef Abdur-Rahim,9697
32,Joe Smith,9697
33,Antonio McDyess,9697
34,Christian Laettner,9697
35,Derrick Coleman,9697
36,Clyde Drexler,9697
37,David Robinson,9697
38,Antoine Walker,9697
39,Kenny Anderson,9697
40,Mookie Blaylock,9697
41,Rony Seikaly,9697
42,Rod Strickland,9697
43,Eddie Jones,9697
44,Rik Smits,9697
45,Kevin Garnett,9697
46,David Wesley,9697
47,Detlef Schrempf,9697
48,Dale Ellis,9697
49,Kerry Kittles,9697
50,Walt Williams,9697
51,Anthony Mason,9697
52,Bryant Reeves,9697
53,Isaiah Rider,9697
54,Jim Jackson,9697
55,Sam Cassell,9697
56,Stephon Marbury,9697
57,Rick Fox,9697
58,Nick Van Exel,9697
59,Rasheed Wallace,9697
60,Clifford Robinson,9697
61,Michael Finley,9697
62,Eric Williams,9697
63,Sean Elliott,9697
64,Elden Campbell,9697
65,Bryant Stith,9697
66,Loy Vaught,9697
67,Marcus Camby,9697
68,Dell Curry,9697
69,Allan Houston,9697
70,Joe Dumars,9697
71,Cedric Ceballos,9697
72,Jeff Hornacek,9697
73,Doug Christie,9697
74,Todd Day,9697
75,Chris Mullin,9697
76,Anthony Peeler,9697
77,John Stockton,9697
78,Robert Pack,9697
79,Lindsey Hunter,9697
80,Hersey Hawkins,9697
81,Rex Chapman,9697
82,John Starks,9697
83,Mahmoud Abdul-Rauf,9697
84,Danny Manning,9697
85,Wesley Person,9697
86,Malik Sealy,9697
87,Arvydas Sabonis,9697
88,Ray Allen,9697
89,Jayson Williams,9697
90,Chris Mills,9697
91,Dikembe Mutombo,9697
92,Rodney Rogers,9697
93,Toni Kukoc,9697
94,Shawn Bradley,9697
95,Otis Thorpe,9697
96,Tyrone Hill,9697
97,Vernon Maxwell,9697
98,Larry Johnson,9697
99,Vlade Divac,9697
100,Horace Grant,9697
101,Bobby Phills,9697
102,Dana Barros,9697
103,Olden Polynice,9697
104,Dennis Scott,9697
105,Voshon Lenard,9697
106,Vinny Del Negro,9697
107,Clar. Weatherspoon,9697
108,Nick Anderson,9697
109,Jamal Mashburn,9697
110,Mario Elie,9697
111,Corliss Williamson,9697
112,Mark Price,9697
113,Kevin Willis,9697
114,Ricky Pierce,9697
115,Sam Perkins,9697
116,Billy Owens,9697
117,Jason Kidd,9697
118,Darrick Martin,9697
119,Don MacLean,9697
120,Terry Mills,9697
121,Dan Majerle,9697
122,Charles Oakley,9697
123,Bryon Russell,9697
124,Gary Trent,9697
125,Danny Ferry,9697
126,Erick Strickland,9697
127,Gerald Wilkins,9697
128,Calbert Cheaney,9697
129,Avery Johnson,9697
130,Brian Grant,9697
131,Antonio Davis,9697
132,Dale Davis,9697
133,George McCloud,9697
134,Derek Harper,9697
135,Tracy Murray,9697
136,Travis Best,9697
137,Mark Jackson,9697
138,Carlos Rogers,9697
139,Sherman Douglas,9697
140,Ike Austin,9697
141,Greg Minor,9697
142,Tyrone Corbin,9697
