,+/-,3P%,AST,BLK,FG%,PTS,REB,STL,TOV,WIN%,+/-_1,+/-_2,+/-_3,+/-_4,+/-_5,+/-_6,+/-_7,+/-_8,3P%_1,3P%_2,3P%_3,3P%_4,3P%_5,3P%_6,3P%_7,3P%_8,3PA_1,3PA_2,3PA_3,3PA_4,3PA_5,3PA_6,3PA_7,3PA_8,3PM_1,3PM_2,3PM_3,3PM_4,3PM_5,3PM_6,3PM_7,3PM_8,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,AGE_8,AST_1,AST_2,AST_3,AST_4,AST_5,AST_6,AST_7,AST_8,BLK_1,BLK_2,BLK_3,BLK_4,BLK_5,BLK_6,BLK_7,BLK_8,DD2_1,DD2_2,DD2_3,DD2_4,DD2_5,DD2_6,DD2_7,DD2_8,DREB_1,DREB_2,DREB_3,DREB_4,DREB_5,DREB_6,DREB_7,DREB_8,FG%_1,FG%_2,FG%_3,FG%_4,FG%_5,FG%_6,FG%_7,FG%_8,FGA_1,FGA_2,FGA_3,FGA_4,FGA_5,FGA_6,FGA_7,FGA_8,FGM_1,FGM_2,FGM_3,FGM_4,FGM_5,FGM_6,FGM_7,FGM_8,FP_1,FP_2,FP_3,FP_4,FP_5,FP_6,FP_7,FP_8,FT%_1,FT%_2,FT%_3,FT%_4,FT%_5,FT%_6,FT%_7,FT%_8,FTA_1,FTA_2,FTA_3,FTA_4,FTA_5,FTA_6,FTA_7,FTA_8,FTM_1,FTM_2,FTM_3,FTM_4,FTM_5,FTM_6,FTM_7,FTM_8,GP_1,GP_2,GP_3,GP_4,GP_5,GP_6,GP_7,GP_8,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,MIN_1,MIN_2,MIN_3,MIN_4,MIN_5,MIN_6,MIN_7,MIN_8,OREB_1,OREB_2,OREB_3,OREB_4,OREB_5,OREB_6,OREB_7,OREB_8,PF_1,PF_2,PF_3,PF_4,PF_5,PF_6,PF_7,PF_8,PTS_1,PTS_2,PTS_3,PTS_4,PTS_5,PTS_6,PTS_7,PTS_8,REB_1,REB_2,REB_3,REB_4,REB_5,REB_6,REB_7,REB_8,STL_1,STL_2,STL_3,STL_4,STL_5,STL_6,STL_7,STL_8,TD3_1,TD3_2,TD3_3,TD3_4,TD3_5,TD3_6,TD3_7,TD3_8,TOV_1,TOV_2,TOV_3,TOV_4,TOV_5,TOV_6,TOV_7,TOV_8,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8
0,10.8,41.6,28.9,6.1,48.7,114.9,46.2,8.4,15.2,0.89,13.2,12.9,10.5,6.9,7.0,5.7,2.7,4.8,38.8,45.4,42.5,38.3,35.1,100.0,16.7,0.0,3.2,11.2,8.1,3.2,2.4,0.0,0.2,0.0,1.2,5.1,3.5,1.2,0.8,0.0,0.0,0.0,26,28,26,24,32,31,30,26,7.4,6.7,2.1,1.8,3.4,2.3,3.0,0.7,1.4,0.2,0.6,0.2,0.3,1.6,0.3,1.1,33,15,0,1,1,5,0,6,7.8,4.6,3.4,3.8,3.2,5.3,1.6,3.6,49.0,50.4,47.0,46.6,47.8,62.7,53.6,54.8,10.1,20.2,17.3,9.6,5.7,4.0,4.9,5.0,5.0,10.2,8.1,4.5,2.7,2.5,2.6,2.7,41.8,50.3,32.2,21.8,20.0,22.4,15.6,18.3,69.6,90.8,87.3,76.1,61.4,48.0,86.0,53.0,4.1,5.1,2.8,2.0,1.3,0.7,1.2,2.9,2.8,4.6,2.4,1.5,0.8,0.3,1.0,1.5,81,79,80,66,65,70,78,46,8,8,9,7,6,8,9,4,34.7,34.2,33.3,30.9,26.6,20.7,19.5,16.7,1.7,0.9,0.4,1.2,0.8,1.7,0.5,2.0,3.0,2.0,1.9,2.1,1.6,3.2,1.8,2.0,14.0,30.1,22.1,11.7,7.0,5.4,6.3,7.0,9.5,5.4,3.8,4.9,4.0,7.0,2.2,5.6,1.5,2.1,0.8,0.6,1.1,0.5,0.7,0.4,13,2,0,0,0,0,0,0,3.2,3.3,1.7,0.9,1.2,1.2,1.0,0.8,73,71,71,59,59,62,69,42
1,0.2,34.7,22.2,5.2,45.2,106.5,43.1,10.0,15.9,0.5,1.5,0.5,0.2,1.9,-4.8,-1.1,1.3,-3.4,35.9,37.1,0.0,40.0,31.6,27.2,0.0,33.3,8.0,6.2,0.1,4.4,1.6,2.7,0.0,0.5,2.9,2.3,0.0,1.7,0.5,0.7,0.0,0.2,26,31,30,27,24,30,22,27,7.5,2.3,1.4,3.4,0.8,1.3,0.6,0.8,0.6,0.3,1.6,0.4,0.8,0.2,1.2,0.5,23,1,38,1,0,0,10,1,5.3,3.7,8.4,2.5,3.0,1.9,3.9,3.5,43.9,41.6,62.0,43.4,45.2,38.4,58.2,52.2,19.7,10.6,8.5,8.4,7.3,6.7,5.2,10.3,8.7,4.4,5.2,3.6,3.3,2.6,3.0,5.4,49.9,27.1,35.3,22.9,17.7,14.9,20.8,21.6,86.0,78.3,48.9,68.2,66.4,75.0,37.9,77.6,10.2,2.0,6.7,1.2,2.3,1.7,2.7,2.5,8.8,1.6,3.3,0.8,1.5,1.3,1.0,1.9,82,81,71,71,50,82,77,20,41,41,37,36,26,41,38,10,38.1,35.3,32.1,28.7,20.9,20.4,19.1,18.1,0.8,0.8,3.4,1.0,1.2,0.5,2.5,1.5,2.8,2.2,3.1,3.3,1.7,2.0,2.5,2.0,29.0,12.7,13.7,9.9,8.7,7.2,7.0,12.8,6.1,4.5,11.8,3.5,4.2,2.4,6.4,4.9,1.7,2.0,1.0,1.3,0.5,1.0,0.8,0.6,3,0,0,0,0,0,0,0,4.6,1.4,2.3,1.3,1.0,1.0,0.8,1.2,41,40,34,35,24,41,39,10
2,7.3,34.9,23.0,5.9,47.6,110.2,48.6,7.4,15.9,0.6709999999999999,9.0,7.9,6.8,2.7,6.0,3.7,1.5,0.3,38.7,29.6,32.6,35.8,0.0,31.1,47.6,30.0,6.7,4.3,2.4,3.1,0.0,1.5,0.3,3.1,2.6,1.3,0.8,1.1,0.0,0.5,0.1,0.9,27,27,26,24,22,24,24,32,5.0,10.4,0.8,2.0,0.8,0.7,0.4,2.0,1.2,0.3,1.9,0.2,1.1,0.6,0.4,0.4,27,54,9,0,6,0,25,0,7.6,6.0,5.0,2.1,3.9,2.5,5.1,1.6,50.5,45.4,47.9,39.9,61.3,49.6,57.6,35.1,19.2,18.1,11.1,9.1,5.3,3.9,8.8,6.0,9.7,8.2,5.3,3.6,3.3,1.9,5.0,2.1,48.5,51.1,27.8,18.0,21.0,13.7,23.7,12.6,89.8,81.2,75.2,71.3,58.2,61.1,79.7,82.4,6.9,7.2,1.6,2.0,2.5,0.8,3.1,0.9,6.2,5.8,1.2,1.4,1.4,0.5,2.4,0.8,72,80,78,78,80,70,82,81,20,25,24,25,26,22,27,44,35.8,34.4,32.1,27.6,25.2,22.2,21.0,20.3,0.6,1.8,1.8,0.5,2.7,1.1,3.0,0.3,1.9,2.5,2.7,1.8,2.8,1.9,2.0,1.6,28.2,23.5,12.6,9.8,8.0,4.8,12.7,5.9,8.2,7.8,6.8,2.6,6.7,3.6,8.1,1.9,1.0,2.0,0.5,1.0,0.5,0.8,0.3,0.5,1,18,0,0,0,0,0,0,3.5,4.3,1.4,1.5,1.1,0.5,1.4,1.1,52,55,54,53,54,48,55,37
3,-2.5,35.9,24.5,4.5,46.4,106.6,44.2,8.9,16.2,0.402,-2.1,0.6,-1.2,-0.9,0.1,-2.8,-8.0,-1.2,36.5,33.3,34.4,40.1,40.9,30.6,40.0,0.0,2.4,3.2,3.1,2.9,4.0,4.4,5.0,0.0,0.9,1.1,1.1,1.2,1.6,1.3,2.0,0.0,30,25,29,28,28,30,24,22,11.7,3.3,1.7,4.3,1.4,1.9,1.0,0.6,0.1,1.4,0.7,0.1,0.2,0.0,0.0,1.0,37,47,7,4,6,0,0,3,5.0,9.1,5.0,1.9,5.1,1.6,2.0,3.3,45.4,45.1,46.3,48.6,48.1,38.6,20.0,56.3,10.9,20.5,14.4,10.5,9.0,9.3,10.0,5.1,4.9,9.2,6.7,5.1,4.3,3.6,2.0,2.9,39.1,50.7,32.1,24.7,22.8,15.6,15.3,18.7,58.0,71.8,78.0,85.8,64.8,83.3,0.0,64.8,2.1,10.2,3.6,3.1,2.3,2.0,0.0,1.9,1.2,7.3,2.8,2.6,1.5,1.7,0.0,1.2,72,65,70,74,69,68,1,66,43,36,41,45,42,41,1,40,35.2,34.6,34.0,30.0,27.3,24.6,24.2,21.4,1.1,2.4,1.5,0.4,0.8,0.1,2.0,2.0,2.4,3.6,2.6,1.9,2.2,1.3,2.0,2.2,11.9,26.9,17.2,14.0,11.8,10.2,6.0,7.0,6.0,11.5,6.5,2.3,5.9,1.7,4.0,5.3,2.0,1.6,1.4,1.0,0.8,0.5,1.0,0.7,6,1,0,0,0,0,0,0,3.9,3.8,2.0,1.8,1.4,1.2,0.0,0.7,29,29,29,29,27,27,0,26
4,6.0,36.2,22.7,3.9,46.0,104.3,44.5,6.7,13.6,0.695,-1.0,8.1,5.6,3.9,4.0,4.4,5.0,3.4,50.0,30.9,36.0,32.1,40.0,0.0,41.0,29.5,2.0,3.7,5.7,4.9,6.6,0.0,3.1,2.7,1.0,1.1,2.1,1.6,2.6,0.0,1.3,0.8,35,31,27,24,30,25,25,26,2.0,6.8,2.4,4.7,1.7,0.8,4.4,1.7,2.0,0.6,0.5,0.3,0.3,0.6,0.1,0.4,0,28,35,1,1,23,1,1,4.0,6.0,8.0,2.1,2.3,5.7,1.7,3.2,42.9,52.0,41.9,44.8,41.5,58.8,40.5,37.4,14.0,18.6,12.7,16.6,11.0,5.1,6.7,5.6,6.0,9.7,5.3,7.4,4.6,3.0,2.7,2.1,31.0,47.1,33.5,32.1,21.5,22.3,17.3,15.8,0.0,73.1,82.2,88.5,63.4,61.6,86.4,78.4,0.0,6.5,4.1,3.6,0.9,3.0,0.9,0.9,0.0,4.7,3.4,3.2,0.6,1.8,0.8,0.7,1,76,77,53,77,82,76,54,1,20,24,16,24,25,22,15,42.4,35.6,31.5,31.5,30.7,27.7,24.6,24.4,1.0,1.5,1.9,0.8,0.6,3.3,0.4,0.6,6.0,1.9,2.1,2.0,2.6,2.5,2.3,2.2,13.0,25.3,16.0,19.6,12.4,7.8,7.5,5.8,5.0,7.4,9.9,3.0,2.8,9.0,2.1,3.8,1.0,1.4,0.8,1.1,1.1,0.5,0.6,1.0,0,3,0,0,0,0,0,0,0.0,3.3,1.8,2.3,0.8,0.7,1.5,1.1,0,56,53,37,53,57,54,39
5,0.8,37.0,21.3,4.6,45.0,105.1,45.5,6.9,14.6,0.537,1.3,1.9,0.7,0.5,0.4,1.6,0.3,0.3,37.5,41.7,36.1,39.3,0.0,37.7,0.0,35.3,8.1,5.9,4.3,3.5,0.0,3.7,0.0,1.9,3.1,2.5,1.5,1.4,0.0,1.4,0.0,0.7,25,24,25,24,26,24,27,28,6.8,4.3,1.7,1.2,2.8,1.5,1.1,1.0,0.4,0.3,0.6,0.2,1.0,0.3,0.9,0.3,15,2,8,0,15,4,9,0,3.4,2.7,4.9,2.3,5.2,4.3,4.6,2.5,41.9,44.8,41.6,45.9,51.6,44.8,61.1,43.9,19.7,17.9,8.8,8.4,6.3,7.1,4.2,7.3,8.2,8.0,3.6,3.8,3.3,3.2,2.5,3.2,40.6,33.2,23.2,17.4,26.2,16.8,21.0,15.2,89.2,82.7,73.7,86.7,64.2,76.1,55.9,76.7,6.2,2.8,1.9,1.4,4.1,0.8,2.5,2.0,5.5,2.3,1.4,1.2,2.6,0.6,1.4,1.6,75,80,82,81,82,61,81,72,35,36,38,38,38,28,38,33,35.7,34.7,28.5,26.0,25.4,21.8,20.8,19.9,0.6,0.6,1.2,0.3,2.5,0.8,2.8,0.4,2.2,2.3,2.1,2.4,3.1,3.0,2.5,1.2,25.1,20.8,10.2,10.3,9.1,8.4,6.5,8.7,4.0,3.2,6.1,2.7,7.7,5.1,7.4,2.9,0.9,1.2,0.9,0.8,0.8,0.1,0.7,0.5,0,0,0,0,0,0,0,0,3.2,2.5,1.5,0.8,1.9,1.3,0.8,0.9,40,44,44,43,44,33,43,39
6,-3.8,36.0,22.2,4.2,44.8,102.7,42.6,7.7,13.4,0.366,-3.3,-1.6,-0.6,0.5,0.4,-5.8,-2.3,-3.5,32.4,38.4,38.8,36.6,33.6,28.9,32.4,31.6,1.8,6.5,3.4,5.4,4.0,4.1,2.3,2.2,0.6,2.5,1.3,2.0,1.3,1.2,0.7,0.7,23,27,26,28,26,25,27,29,1.9,2.7,6.6,1.1,6.0,2.3,3.7,1.0,2.0,0.3,0.3,0.4,0.3,0.3,0.1,0.4,36,0,6,8,5,1,2,0,8.1,2.0,4.4,4.0,2.6,4.5,3.1,2.2,49.3,41.8,43.3,42.7,43.9,42.2,40.5,45.1,18.6,12.3,12.6,14.1,14.4,10.5,10.8,5.2,9.2,5.1,5.4,6.0,6.3,4.5,4.4,2.3,47.5,24.1,33.1,27.4,31.9,23.0,21.3,13.3,75.8,88.8,79.6,87.3,84.3,66.7,80.0,69.5,7.0,2.8,3.7,3.5,3.3,1.9,1.4,1.0,5.3,2.5,3.0,3.0,2.8,1.3,1.2,0.7,61,45,25,66,65,11,45,80,37,31,14,42,38,7,25,52,35.5,32.9,30.6,30.4,28.2,27.6,26.6,24.6,2.1,0.2,0.8,2.0,0.4,1.1,0.2,0.7,2.4,2.2,2.6,1.7,2.3,2.2,2.3,2.2,24.3,15.2,15.2,17.0,16.8,11.4,10.6,6.1,10.3,2.2,5.2,6.0,3.0,5.6,3.4,3.0,1.3,1.0,1.3,0.6,1.4,0.7,0.8,0.5,0,0,0,0,0,0,0,0,2.0,1.6,2.9,1.4,2.6,1.5,1.7,0.5,24,14,11,24,27,4,20,28
7,4.5,37.0,18.7,5.5,45.1,102.7,43.4,7.8,13.1,0.6829999999999999,4.9,2.2,1.7,2.4,3.4,5.1,3.4,1.0,38.8,33.8,39.0,0.0,27.3,36.2,38.8,0.0,7.1,1.8,4.5,0.0,1.4,3.7,4.6,0.0,2.8,0.6,1.8,0.0,0.4,1.3,1.8,0.0,30,26,29,24,24,27,25,23,6.4,4.0,1.0,0.7,3.1,1.2,0.8,0.4,0.4,0.3,0.2,1.3,0.3,0.4,0.3,1.6,12,3,0,22,0,0,1,9,4.0,3.7,3.5,6.1,2.1,3.4,2.2,5.8,42.7,44.6,38.9,56.5,43.9,41.4,43.1,54.2,15.6,17.7,10.4,8.9,7.3,6.2,8.6,3.5,6.6,7.9,4.0,5.1,3.2,2.6,3.7,1.9,41.1,36.6,22.9,28.6,18.1,16.3,16.7,20.3,81.1,85.0,60.0,76.1,76.4,85.3,79.0,62.8,6.4,8.4,1.9,3.6,2.2,0.4,0.8,2.8,5.2,7.1,1.2,2.7,1.7,0.4,0.7,1.7,77,78,26,60,80,79,73,82,23,25,10,20,26,25,20,26,37.0,35.9,30.2,25.9,25.6,25.6,23.9,22.0,0.7,0.8,1.2,3.1,0.5,1.0,0.3,2.2,2.7,2.1,2.4,2.6,1.6,1.6,1.6,2.7,21.2,23.5,11.0,12.8,8.5,6.9,9.9,5.5,4.7,4.5,4.7,9.1,2.6,4.3,2.5,8.0,2.1,1.0,1.7,0.4,0.8,0.7,0.7,0.2,1,0,0,0,0,0,0,0,2.9,2.2,1.1,1.4,1.3,0.8,0.6,0.9,54,53,16,40,54,54,53,56
8,1.7,35.1,21.2,4.8,45.0,102.2,44.2,9.0,14.9,0.5489999999999999,2.2,1.3,1.3,1.6,0.0,-1.2,0.2,-2.4,37.1,40.8,30.9,0.0,36.7,21.4,24.1,33.3,7.0,4.2,3.5,0.0,6.0,0.2,1.4,1.6,2.6,1.7,1.1,0.0,2.2,0.1,0.3,0.5,26,30,30,29,29,20,30,28,4.1,3.5,4.7,1.5,1.0,0.7,2.4,3.6,0.4,0.2,0.5,1.1,0.5,1.4,0.1,0.1,15,0,1,9,0,4,0,1,6.0,3.2,2.8,5.2,2.3,4.4,2.4,1.4,41.8,44.1,42.7,58.9,40.9,49.8,41.3,39.3,17.9,10.0,12.6,6.3,9.9,8.8,7.6,5.4,7.5,4.4,5.4,3.7,4.0,4.4,3.2,2.1,41.0,24.9,29.4,24.6,19.3,22.4,17.1,14.5,86.0,76.0,78.6,58.7,75.0,72.7,82.9,68.6,6.5,2.0,2.5,3.2,1.9,2.0,2.7,1.3,5.6,1.5,2.0,1.9,1.5,1.5,2.3,0.9,81,74,81,71,64,60,58,66,37,33,37,30,30,28,25,35,34.8,34.1,33.8,25.6,22.9,22.8,22.0,21.4,1.0,0.8,0.5,1.9,0.4,1.1,0.3,0.4,2.8,2.0,2.1,3.1,2.2,2.6,1.3,1.3,23.1,12.1,13.8,9.3,11.8,10.3,8.9,5.7,7.0,4.0,3.3,7.1,2.7,5.5,2.7,1.8,1.9,1.1,1.9,0.9,0.8,0.4,0.7,0.8,0,0,0,0,0,0,0,0,3.3,1.4,2.5,1.4,1.1,1.1,1.3,1.4,44,41,44,41,34,32,33,31
9,3.2,33.5,24.2,4.2,43.9,105.7,44.9,9.2,13.7,0.585,2.8,3.6,2.9,1.2,1.4,2.6,1.7,3.2,36.1,35.9,33.6,24.1,25.3,28.2,23.3,40.5,5.4,5.7,5.0,1.0,4.0,1.3,0.5,3.0,1.9,2.0,1.7,0.2,1.0,0.4,0.1,1.2,25,27,25,27,22,24,29,25,2.1,6.2,1.8,4.4,3.0,2.3,1.7,1.5,0.3,0.1,0.5,0.3,0.3,0.6,1.1,0.5,0,7,5,4,2,25,8,1,2.3,2.4,4.2,4.3,2.9,5.9,4.1,3.0,44.7,42.8,44.3,45.6,34.8,43.5,58.5,45.5,13.4,16.9,11.1,9.3,8.7,10.0,5.4,8.1,6.0,7.2,4.9,4.2,3.0,4.3,3.2,3.7,25.7,36.1,28.6,25.0,22.8,27.0,21.5,19.7,78.0,87.1,82.0,82.7,77.7,64.0,57.0,75.0,1.6,6.6,3.3,2.2,2.7,2.0,1.5,1.9,1.3,5.8,2.7,1.8,2.1,1.3,0.9,1.4,76,82,73,81,61,81,79,69,31,34,30,34,25,34,34,29,33.4,32.2,31.6,28.0,27.3,23.6,22.8,20.2,0.6,0.6,1.0,0.6,1.2,2.4,2.3,1.0,2.2,2.0,2.7,1.7,3.0,2.6,2.7,2.4,15.2,22.2,14.2,10.5,9.1,10.3,7.3,10.0,2.9,3.0,5.1,4.9,4.2,8.3,6.4,4.1,1.5,1.1,1.7,1.0,1.5,0.9,0.7,0.8,0,0,0,0,1,0,0,0,1.4,2.7,1.1,2.1,1.3,1.3,1.2,1.1,45,48,43,47,36,47,45,40
