,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,34.0,82,69,13,39.1,29.6,11.2,23.1,48.6,1.4,3.6,37.4,5.9,7.0,83.3,1.4,4.5,5.9,4.3,2.0,1.7,0.5,1.9,47.8,9,1,10.0
1,33.0,82,64,18,38.0,27.4,10.5,19.2,55.0,0.0,0.2,0.0,6.4,8.4,75.5,2.4,7.5,9.9,4.5,2.8,1.4,0.6,2.5,49.0,43,1,9.4
2,30.0,79,52,27,43.9,26.8,9.1,19.2,47.7,2.6,5.6,47.0,5.9,6.8,86.7,0.8,3.2,4.0,2.0,2.2,0.9,0.3,2.4,36.1,0,0,2.2
3,25.0,51,38,13,39.3,26.2,10.8,19.4,55.7,0.0,0.1,0.0,4.5,9.4,48.4,3.8,8.7,12.5,3.1,2.9,0.9,2.9,3.3,54.4,44,0,5.3
4,32.0,81,34,47,39.8,25.9,8.9,19.5,45.4,2.5,5.9,42.8,5.6,6.6,86.1,0.7,3.2,3.9,4.2,2.9,1.5,0.3,2.6,39.2,4,1,-1.3
5,26.0,80,29,51,43.2,24.2,8.1,18.1,44.9,1.8,5.2,35.4,6.2,7.3,84.3,0.7,3.9,4.6,6.3,4.0,1.7,0.6,1.9,41.9,15,1,-2.7
6,22.0,76,20,56,41.1,23.5,8.2,19.8,41.6,2.0,6.0,34.1,5.0,7.2,70.2,1.5,2.6,4.1,7.5,4.4,2.1,0.3,2.9,42.3,19,0,-5.8
7,34.0,78,54,24,37.5,23.2,9.3,18.3,51.0,0.1,0.2,31.3,4.5,5.7,78.7,2.2,7.0,9.2,3.0,3.6,1.5,2.2,2.9,46.3,28,1,4.9
8,34.0,78,54,24,38.4,22.4,8.4,17.2,48.8,0.0,0.1,22.2,5.6,7.5,75.4,2.2,8.4,10.7,2.0,3.4,0.9,2.4,3.0,44.8,47,0,4.0
9,27.0,55,13,42,37.6,21.9,8.1,18.4,43.9,1.7,4.7,36.7,4.0,5.1,77.3,1.9,5.1,7.0,2.4,2.1,0.8,0.7,3.1,36.4,8,0,-3.7
10,29.0,82,26,56,40.2,21.8,7.9,17.7,44.3,0.9,2.7,33.6,5.2,6.5,79.7,2.2,3.9,6.1,4.0,2.7,1.9,0.6,2.6,39.7,9,0,-2.3
11,28.0,82,57,25,40.6,21.8,8.6,18.1,47.6,1.5,4.6,31.3,3.1,4.3,71.5,1.3,3.3,4.6,7.1,2.6,2.4,0.2,2.5,43.0,19,2,7.6
12,31.0,81,38,43,38.0,21.6,6.8,15.4,44.4,2.8,6.6,42.7,5.2,5.9,88.0,0.7,2.9,3.5,3.4,2.0,0.9,0.3,2.0,32.6,1,0,1.2
13,24.0,80,52,28,40.5,21.4,7.8,15.7,49.6,0.1,0.4,30.3,5.6,7.9,71.1,1.5,7.5,9.0,7.3,3.2,1.8,0.6,2.2,47.1,36,13,5.2
14,24.0,80,33,47,40.2,21.1,8.4,18.0,46.5,0.8,2.3,35.0,3.6,4.6,79.1,1.6,4.7,6.3,3.1,3.4,1.3,0.9,2.7,36.3,8,0,-1.8
15,25.0,78,31,47,41.8,21.0,8.1,16.0,50.5,0.2,0.7,27.8,4.6,6.7,68.7,3.4,6.9,10.3,2.7,3.1,1.1,1.4,3.3,41.7,45,0,-0.8
16,22.0,81,22,59,40.2,20.7,6.6,16.1,40.7,1.3,4.2,29.8,6.3,8.2,76.6,1.9,2.2,4.2,3.1,3.9,1.1,0.8,2.6,32.3,1,0,-5.4
17,27.0,81,40,41,39.9,20.6,7.3,16.5,44.2,0.3,1.1,25.8,5.7,7.0,82.0,2.3,6.4,8.7,4.1,3.6,1.6,1.1,2.8,41.7,32,0,-1.9
18,25.0,59,38,21,38.8,20.5,7.1,15.9,44.7,1.4,4.5,31.8,4.8,5.8,82.0,1.4,3.1,4.5,5.6,2.5,1.6,0.6,2.1,38.4,2,0,3.4
19,30.0,81,60,21,40.0,20.3,7.1,17.1,41.5,2.5,7.3,34.4,3.6,4.5,79.9,0.6,2.8,3.4,8.6,2.8,1.9,0.1,1.9,40.3,25,0,6.6
20,31.0,82,69,13,38.9,20.2,7.9,16.7,47.4,1.9,5.2,36.8,2.5,3.5,70.1,2.0,4.5,6.5,5.7,2.6,1.9,0.5,2.5,41.2,14,0,9.8
21,23.0,81,30,51,42.1,20.2,7.0,17.4,40.1,2.2,6.1,35.5,4.1,5.0,82.3,1.1,3.0,4.1,8.8,3.6,1.5,0.2,2.0,39.7,33,2,-2.6
22,31.0,70,39,31,39.0,20.1,6.3,12.7,49.6,1.3,2.9,44.1,6.3,7.4,85.2,0.8,2.8,3.6,9.3,3.1,1.5,0.2,2.0,40.3,30,2,2.1
23,24.0,72,40,32,40.2,20.1,8.4,16.2,51.8,0.8,2.1,39.7,2.5,4.3,56.5,3.3,7.0,10.3,4.6,3.2,1.7,1.9,3.4,46.9,41,2,2.2
24,28.0,72,50,22,40.2,20.1,6.8,15.9,42.9,1.8,5.4,33.5,4.6,5.5,84.7,1.3,2.1,3.3,4.2,2.4,0.9,0.3,2.3,31.5,2,0,4.8
25,27.0,66,49,17,36.3,19.8,7.2,13.4,53.4,0.0,0.1,11.1,5.5,8.6,64.2,2.9,7.1,9.9,1.6,3.4,0.8,2.9,3.5,41.9,32,0,7.0
26,27.0,78,40,38,38.0,19.5,7.4,16.8,43.8,1.3,3.5,37.3,3.4,3.8,90.2,0.6,3.2,3.9,6.3,2.3,1.8,0.4,2.1,37.7,8,0,1.6
27,34.0,53,41,12,39.0,19.2,6.3,13.1,48.4,1.1,3.9,28.3,5.4,7.8,69.4,4.0,9.5,13.5,4.7,2.8,1.3,0.5,2.8,44.9,37,1,5.9
28,24.0,82,44,38,41.8,19.1,7.8,16.0,48.6,0.0,0.0,0.0,3.6,4.7,75.6,2.5,5.5,8.0,3.8,3.0,1.1,0.3,3.1,35.7,24,0,1.0
29,29.0,47,16,31,28.2,19.0,7.0,13.3,52.5,0.0,0.1,16.7,5.0,7.0,71.7,2.9,5.0,7.9,0.6,2.6,0.8,0.7,2.7,31.2,16,0,-1.9
30,27.0,81,56,25,35.1,18.7,6.5,12.7,51.0,0.1,0.4,36.4,5.6,7.5,74.2,3.4,6.6,10.0,1.9,3.5,1.5,1.0,3.4,37.7,44,0,5.7
31,20.0,80,13,67,36.0,18.7,6.9,15.2,45.3,0.1,0.3,25.9,4.8,6.5,74.6,2.7,4.2,6.9,2.2,2.8,1.0,1.0,2.4,33.4,16,1,-7.5
32,21.0,80,28,52,39.7,18.7,7.3,16.2,45.4,0.2,0.6,26.1,3.8,4.7,81.4,3.3,5.2,8.5,1.6,2.4,0.9,1.1,2.9,34.8,31,0,-2.7
33,22.0,74,19,55,35.7,18.3,7.2,15.6,46.3,0.1,0.5,17.1,3.7,5.2,70.8,2.1,5.2,7.3,1.4,2.7,0.9,1.7,3.4,34.1,19,0,-5.0
34,27.0,82,56,26,39.3,18.1,6.7,13.8,48.6,0.4,1.1,35.2,4.4,5.4,81.6,2.6,6.2,8.8,2.7,2.7,1.2,0.8,3.1,36.2,31,0,7.1
35,30.0,57,18,39,37.9,18.1,6.4,14.7,43.5,0.6,2.1,26.9,4.8,6.4,74.5,2.8,7.3,10.1,3.4,3.2,0.9,1.3,2.8,38.6,28,0,-3.6
36,35.0,62,46,16,37.7,18.0,6.4,14.5,44.2,1.9,5.4,35.5,3.2,4.3,75.0,1.9,4.1,6.0,5.7,2.5,2.0,0.6,2.2,38.8,10,3,5.9
37,31.0,6,3,3,25.0,17.7,6.0,12.0,50.0,0.0,0.0,0.0,5.7,8.7,65.4,3.2,5.3,8.5,1.3,1.3,1.0,1.0,1.2,34.5,2,0,3.5
38,20.0,82,15,67,37.4,17.5,7.0,16.5,42.6,0.6,1.9,32.7,2.8,4.5,63.1,3.5,5.5,9.0,3.2,2.8,1.3,0.6,3.1,36.1,33,2,-6.8
39,26.0,82,49,33,38.8,17.5,5.9,13.9,42.7,1.6,4.5,36.1,4.1,5.3,76.8,1.1,3.3,4.4,7.1,2.4,2.0,0.2,2.5,37.6,13,0,4.2
40,30.0,78,53,25,40.2,17.4,6.4,14.9,43.2,2.8,7.7,36.6,1.7,2.2,75.3,1.5,3.8,5.3,5.9,2.4,2.7,0.3,1.8,39.2,14,0,7.5
41,32.0,74,41,33,36.1,17.3,6.2,12.3,50.7,0.0,0.0,0.0,4.8,6.8,71.4,3.7,5.8,9.5,1.2,2.9,0.7,1.4,3.4,33.8,32,0,-0.8
42,30.0,82,44,38,37.8,17.2,6.3,13.5,46.6,0.2,0.9,16.9,4.5,6.1,73.8,1.2,2.9,4.1,8.9,3.3,1.7,0.2,1.9,37.8,31,0,1.0
43,25.0,80,54,26,38.6,17.2,5.9,13.5,43.8,1.9,4.9,39.1,3.5,4.2,81.9,1.1,3.0,4.1,3.4,2.1,2.4,0.6,2.7,33.9,1,0,3.3
44,30.0,52,25,27,29.9,17.1,6.8,14.1,48.6,0.0,0.2,25.0,3.3,4.2,79.7,2.0,4.9,6.9,1.3,2.4,0.4,1.1,3.1,29.6,12,0,1.9
45,21.0,77,40,37,40.0,17.0,7.1,14.3,49.9,0.1,0.3,28.6,2.7,3.5,75.4,2.5,5.6,8.0,3.1,2.3,1.4,2.1,2.5,39.4,19,0,1.5
46,26.0,74,13,61,41.7,16.8,6.2,13.2,46.8,1.4,3.9,36.0,3.0,3.9,78.1,0.9,2.7,3.6,7.3,2.9,2.2,0.2,2.8,36.2,15,0,-5.5
47,34.0,61,43,18,37.1,16.8,5.8,11.9,49.2,0.9,2.6,35.4,4.1,5.2,80.1,1.4,5.0,6.5,4.4,2.5,1.0,0.3,2.4,32.5,6,0,8.1
