,0
0,4
1,3
2,2
3,1
4,3
5,2
6,2
7,3
8,2
9,3
10,1
11,3
12,3
13,2
14,1
15,1
16,1
17,2
18,3
19,2
20,2
21,2
22,2
23,1
24,2
25,1
26,1
27,2
28,2
29,3
30,2
31,4
32,1
33,3
34,2
35,2
36,2
37,2
38,3
39,1
40,1
41,2
42,2
43,2
44,2
45,2
46,3
47,2
48,3
49,1
50,1
51,3
52,2
53,3
54,1
55,1
56,1
57,2
58,1
59,3
60,3
61,2
62,2
63,1
64,0
65,2
66,2
67,1
68,3
69,1
70,2
71,2
72,2
73,2
74,3
75,1
76,3
77,1
78,3
79,3
80,2
81,3
82,2
83,2
84,3
85,2
86,0
87,2
88,1
89,2
90,0
91,3
92,3
93,4
94,3
95,1
96,2
97,2
98,3
99,3
100,2
101,2
102,2
103,2
104,3
105,1
106,1
107,2
108,1
109,1
110,3
111,2
112,3
113,1
114,2
115,3
116,3
117,3
118,2
119,3
120,3
121,1
122,2
123,2
124,2
125,3
126,2
127,1
128,3
129,1
130,1
131,3
132,2
133,1
134,2
135,3
136,1
137,1
138,3
139,1
140,2
141,2
142,1
143,2
144,2
145,2
146,3
147,1
148,3
149,3
150,3
151,2
152,3
153,3
154,2
155,0
156,1
157,2
158,2
159,2
160,3
161,1
162,1
163,2
164,3
165,2
166,1
167,2
168,2
169,1
170,2
171,1
172,3
173,2
174,3
175,2
176,3
177,1
178,1
179,2
180,4
181,2
182,1
183,3
184,2
185,3
186,2
187,1
188,2
189,2
190,2
191,2
192,2
193,1
194,1
195,0
196,2
197,4
198,2
199,2
200,2
201,2
202,2
203,3
204,1
205,3
206,3
207,3
208,2
209,3
210,2
211,1
212,2
213,1
214,2
215,2
216,3
217,2
218,2
219,2
220,1
221,2
222,2
223,1
224,1
225,3
226,3
227,1
228,3
229,1
230,2
231,2
232,2
233,3
234,3
235,2
236,3
237,2
238,3
239,2
240,3
241,2
242,1
243,2
244,2
245,2
246,1
247,1
248,2
249,2
250,1
251,1
252,2
253,3
254,1
255,1
256,2
257,1
258,1
259,2
260,2
261,4
262,3
263,3
264,2
265,2
266,1
267,3
268,2
269,2
270,2
271,1
272,3
273,1
274,2
275,1
276,2
277,2
278,1
279,3
280,1
281,1
282,1
283,2
284,3
285,2
286,3
287,3
288,2
289,2
290,3
291,3
292,1
293,2
294,3
295,3
296,2
297,3
298,2
299,3
300,1
301,3
302,3
303,2
304,1
305,0
306,2
307,2
308,1
309,1
310,2
311,3
312,2
313,2
314,1
315,1
316,1
317,2
318,3
319,2
320,2
321,3
322,2
323,2
324,3
325,2
326,1
327,2
328,3
329,3
330,1
331,2
332,2
333,2
334,3
335,2
336,2
337,1
338,2
339,2
340,2
341,0
342,2
343,3
344,3
345,3
346,2
347,1
348,2
349,3
350,2
351,2
352,3
353,1
354,3
355,3
356,2
357,2
358,2
359,2
360,2
361,2
362,3
363,2
364,3
365,1
366,2
367,2
368,2
369,3
370,2
371,1
372,1
373,1
374,1
375,2
376,1
377,3
378,3
379,3
380,3
381,1
382,1
383,1
384,2
385,2
386,0
387,2
388,3
389,3
390,2
391,2
392,2
393,2
394,3
395,0
396,3
397,3
398,2
399,1
400,3
401,2
402,2
403,1
404,1
405,2
406,2
407,3
408,2
409,2
410,1
411,4
412,2
413,1
414,1
415,2
416,3
417,2
418,2
419,2
420,3
421,1
422,2
423,1
424,1
425,3
426,2
427,3
428,1
429,3
430,2
431,2
432,2
433,2
434,2
435,4
436,3
437,1
438,1
439,3
440,2
441,2
442,2
443,3
444,1
445,2
446,3
447,2
448,1
449,2
450,1
451,1
452,2
453,2
454,3
455,2
456,3
457,3
458,0
459,2
460,2
461,3
462,1
463,2
464,2
465,3
466,3
467,3
468,2
469,2
470,2
471,2
472,3
473,2
474,2
475,2
476,2
477,1
478,2
479,2
480,2
481,2
482,3
483,2
484,1
485,3
486,1
487,2
488,2
489,1
490,2
491,2
492,3
493,3
494,2
495,0
496,2
497,1
498,1
499,2
500,3
501,2
502,4
503,3
504,2
505,2
506,1
507,2
508,3
509,1
510,1
511,3
512,2
513,2
514,3
515,3
516,1
517,2
518,3
519,2
520,3
521,2
522,3
523,3
524,2
525,3
526,2
527,2
528,1
529,3
530,2
531,2
532,3
533,2
534,3
535,3
536,1
537,1
538,2
539,1
540,2
541,1
542,2
543,2
544,1
545,2
546,2
547,2
548,2
549,1
550,1
551,3
552,2
553,2
554,3
555,3
556,3
557,3
558,2
559,2
560,1
561,2
562,1
563,2
564,1
565,2
566,1
567,3
568,2
569,2
570,2
571,2
572,3
573,3
574,2
575,2
576,1
577,2
578,2
