,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,35.0,82.0,62.0,20.0,38.8,28.7,10.7,23.1,46.5,0.4,1.5,23.8,6.9,8.8,78.4,1.6,4.2,5.8,3.5,2.3,1.7,0.5,1.8,45.4,5.0,0.0,7.3
1,34.0,81.0,61.0,20.0,37.4,27.0,9.6,18.2,53.0,0.0,0.1,33.3,7.8,10.2,76.1,2.3,8.0,10.3,3.9,3.0,1.2,0.9,2.9,48.3,41.0,0.0,7.2
2,31.0,82.0,51.0,31.0,40.2,22.3,7.7,16.9,45.7,1.6,3.7,43.3,5.2,6.1,84.9,1.1,3.2,4.3,2.2,2.2,0.9,0.3,2.4,32.2,2.0,0.0,2.1
3,26.0,60.0,46.0,14.0,36.2,28.3,11.2,19.1,58.4,0.0,0.0,0.0,6.0,11.4,52.7,3.5,7.9,11.4,2.4,2.9,0.7,2.4,3.2,51.7,39.0,0.0,10.8
4,33.0,70.0,26.0,44.0,36.7,23.2,7.8,17.4,44.5,1.9,4.8,38.9,5.8,6.7,86.4,0.7,2.6,3.3,4.0,2.6,1.3,0.2,2.2,34.9,1.0,0.0,-1.9
5,27.0,14.0,1.0,13.0,39.1,21.4,7.9,19.8,39.7,0.6,3.4,18.8,5.0,6.7,74.5,0.5,3.1,3.6,4.9,3.1,1.4,0.4,1.9,35.0,0.0,0.0,-12.9
6,23.0,80.0,31.0,49.0,39.4,22.0,8.1,17.6,46.1,0.9,2.9,29.8,4.9,6.7,72.9,1.1,2.6,3.7,6.2,3.1,2.2,0.3,2.5,40.2,12.0,0.0,-1.2
7,35.0,47.0,26.0,21.0,34.7,16.4,6.5,13.5,48.3,0.0,0.1,0.0,3.4,4.5,75.5,2.5,7.3,9.8,3.0,2.7,1.8,2.0,3.2,41.5,23.0,0.0,1.5
8,35.0,26.0,15.0,11.0,32.6,20.8,7.8,15.5,50.4,0.0,0.1,0.0,5.2,7.2,72.0,2.3,7.9,10.2,1.1,3.0,0.6,2.2,2.8,40.2,17.0,0.0,3.2
9,28.0,76.0,11.0,65.0,33.9,14.3,5.4,13.3,40.7,0.8,2.6,28.4,2.7,3.4,80.5,1.9,5.2,7.2,2.8,2.3,0.9,0.6,3.0,29.3,16.0,0.0,-7.9
10,30.0,81.0,42.0,39.0,33.8,13.4,5.2,12.0,42.9,0.3,1.2,25.7,2.8,4.0,68.8,1.4,3.4,4.8,2.5,1.5,1.9,0.8,3.3,29.5,1.0,0.0,0.6
11,29.0,82.0,61.0,21.0,38.4,19.2,7.1,15.6,45.3,1.6,4.8,33.8,3.4,4.6,74.4,0.9,3.6,4.6,8.3,2.8,2.3,0.2,2.4,41.7,28.0,1.0,7.6
12,32.0,81.0,58.0,23.0,34.5,19.5,6.4,13.3,47.7,2.0,4.7,42.9,4.7,5.4,86.8,0.6,2.3,2.9,2.1,1.6,1.0,0.1,1.8,27.8,0.0,0.0,6.5
13,25.0,81.0,36.0,45.0,40.7,21.1,7.6,16.8,45.2,0.0,0.3,14.3,5.9,8.0,74.0,1.1,6.5,7.7,6.8,3.5,1.8,0.7,2.4,44.3,36.0,4.0,2.6
14,25.0,56.0,29.0,27.0,40.9,23.4,9.5,20.3,47.0,0.4,1.2,38.5,3.8,4.8,80.8,1.5,4.0,5.5,2.8,3.6,1.2,0.6,2.9,36.1,2.0,0.0,1.0
15,26.0,82.0,61.0,21.0,36.0,19.2,7.7,14.2,54.2,0.0,0.1,14.3,3.8,6.4,59.1,3.5,4.5,8.0,1.9,2.1,1.1,1.0,3.4,35.9,27.0,0.0,5.0
16,23.0,79.0,32.0,47.0,32.2,15.8,5.4,12.3,43.5,0.6,2.5,24.1,4.5,5.7,78.7,1.3,2.0,3.4,3.1,2.8,1.1,0.7,2.2,27.2,0.0,0.0,-0.2
